city,price24,price18,unsold24,rent2025
ירושלים,2870000,1820000,10230,5164
תל אביב-יפו,4160000,3100000,9710,7201
חיפה,1810000,1380000,4173,3298
ראשון לציון,2390000,1980000,1710,5040
פתח תקווה,2700000,1980000,2680,4911
אשדוד,2000000,1620000,2950,4297
נתניה,2450000,1820000,3286,4515
באר שבע,1210000,980000,1280,3034
בני ברק,2450000,1750000,1480,4297
חולון,2340000,1920000,1380,4757
רמת גן,3180000,2380000,3565,5890
רחובות,2260000,1850000,1680,4691
בת ים,2460000,1720000,4790,4263
אשקלון,1450000,1480000,2380,3544
כפר סבא,2920000,2180000,980,5842
הרצליה,3970000,2750000,1280,6446
מודיעין-מכבים-רעות,2780000,2080000,850,
רעננה,3180000,2380000,1580,6629
מודיעין עילית,1450000,1080000,520,
בית שמש,2270000,1380000,1850,5500
לוד,1650000,1180000,2720,
רמלה,1780000,1280000,680,
נצרת,1180000,850000,180,
קריית גת,1680000,1180000,2190,
קריית אתא,1620000,1280000,1220,
אילת,1400000,1380000,380,
רמת השרון,3850000,2880000,1490,
גבעתיים,3380000,2520000,680,
הוד השרון,3120000,2350000,480,
קריית ביאליק,1310000,1380000,1060,
קריית ים,1000000,1180000,280,
קריית מוצקין,1420000,1450000,320,
נשר,2180000,1620000,520,
טבריה,1330000,980000,1020,
עפולה,1650000,1180000,880,
עכו,1380000,980000,580,
נהריה,1780000,1280000,580,
כרמיאל,1200000,1080000,380,
דימונה,980000,680000,180,
אופקים,1480000,980000,1090,
שדרות,1200000,920000,380,
נתיבות,1480000,980000,1340,
אלעד,1980000,1450000,1070,
גבעת שמואל,2980000,2280000,380,
ביתר עילית,1380000,980000,480,
אריאל,1480000,1080000,180,
מעלה אדומים,1600000,1280000,280,
באר יעקב,2450000,1780000,1760,
יבנה,2380000,1750000,780,
קריית מלאכי,1680000,1180000,480,
קריית אונו,3380000,2580000,1330,
